input_string,postcode,latitude,longitude,subregion,STATE,Country,PFBS,PFHxA,PFHpA,PFHxS,PFOA,PFNA,PFOS,PFDA,MeFOSAA,EtFOSAA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFOA + PFOS,Calculated Total PFAS
"GREENS LAKE APARTMENTS, OAKLA0, MI, USA",48346,42.7199958,-83.4219779,oakland,MI,USA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"HERITAGE APARTMENTS, OAKLA0, MI, USA",48208,42.3407321,-83.0835263,oakland,MI,USA,21,7,0,8,0,0,0,0,0,0,0,0,0,0,0,36
"I0EPE0ENCE TOWNSHIP, OAKLA0, MI, USA",,44.3148443,-85.6023643,oakland,MI,USA,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10
"MILFORD HIGH SCHOOL/HVS, OAKLA0, MI, USA",48357,42.6178338,-83.6225752,oakland,MI,USA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"OAK VALLEY/COUNTRY OAKS/HVS, OAKLA0, MI, USA",48382,42.5937325,-83.5588963,oakland,MI,USA,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"OAKLA0 SCHOOLS-TECHNICAL CAMPUS NW, OAKLA0, MI, USA",48346,42.7366529,-83.4531915,oakland,MI,USA,4,0,0,0,3,0,5,0,0,0,0,0,0,0,8,12
"OAKLA0 SCHOOLS-TECHNICAL CAMPUS NW, OAKLA0, MI, USA",48346,42.7366529,-83.4531915,oakland,MI,USA,6,3,0,0,3,2,4,0,0,0,0,0,0,0,7,18
"OXFORD VILLAGE CO0OMINIUMS, OAKLA0, MI, USA",48371,42.8198739,-83.2702971,oakland,MI,USA,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"PINECREST APARTMENTS, OAKLA0, MI, USA",61761,40.5205769,-88.9515372,oakland,MI,USA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"SASHABAW MEADOWS MHP, OAKLA0, MI, USA",48348,42.7993746,-83.3636387,oakland,MI,USA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"WATERFORD TOWNSHIP, OAKLA0, MI, USA",,42.6907443,-83.4066132,oakland,MI,USA,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
"WEST HIGHLA0 CHRISTIAN, OAKLA0, MI, USA",48380,42.6271559,-83.6622794,oakland,MI,USA,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,6
"GREENLAWN MOBILE HOME COURT, OCEANA, MI, USA",49452,43.5053641,-86.3442243,oceana,MI,USA,0,6,2,0,8,0,0,0,0,0,0,0,0,0,8,16
"NEW ERA CHRISTIAN SCHOOL, OCEANA, MI, USA",49446,43.5606913,-86.3404531,oceana,MI,USA,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"WALKERVILLE COMMUNITY SCHOOL, OCEANA, MI, USA",49459,43.7150042,-86.1226796,oceana,MI,USA,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,4
"WALKERVILLE ELEMENTARY SCHOOL, OCEANA, MI, USA",49459,43.7156674,-86.1265809,oceana,MI,USA,2,0,0,6,5,0,3,0,0,0,0,0,0,0,8,16
"WALKERVILLE ELEMENTARY SCHOOL, OCEANA, MI, USA",49459,43.7156674,-86.1265809,oceana,MI,USA,3,3,0,7,6,0,2,0,0,0,0,0,0,0,8,21
"EVART, CITY OF, OSCEOLA, MI, USA",49631,43.9005752,-85.2580971,osceola,MI,USA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"EVART, CITY OF, OSCEOLA, MI, USA",49631,43.9005752,-85.2580971,osceola,MI,USA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"EVART, CITY OF, OSCEOLA, MI, USA",49631,43.9005752,-85.2580971,osceola,MI,USA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
"GAYLORD, CITY OF, OTSEGO, MI, USA",49735,45.0275126,-84.6747523,otsego,MI,USA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
"VA0ERBILT SCHOOL, OTSEGO, MI, USA",49078,42.4569131,-85.7083727,otsego,MI,USA,3,2,0,0,3,0,0,0,0,0,0,0,0,0,3,8
"ALL FOR KIDS, OTTAWA, MI, USA",,42.953023,-86.0937312,ottawa,MI,USA,0,4,3,0,5,0,0,0,0,0,0,0,0,0,5,12
"ALL FOR KIDS, OTTAWA, MI, USA",,42.953023,-86.0937312,ottawa,MI,USA,2,4,2,0,5,0,0,0,0,0,0,0,0,0,5,13
"CROCKERY MOBILE HOME PARK, OTTAWA, MI, USA",49448,43.088642,-86.117446,ottawa,MI,USA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"CROCKERY MOBILE HOME PARK, OTTAWA, MI, USA",49448,43.088642,-86.117446,ottawa,MI,USA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Future Steps Learning Center LLC, OTTAWA, MI, USA",49534,42.9739028,-85.8040764,ottawa,MI,USA,3,0,0,0,3,0,7,0,0,0,0,0,0,0,10,13
"Future Steps Learning Center LLC, OTTAWA, MI, USA",49534,42.9739028,-85.8040764,ottawa,MI,USA,3,0,0,3,2,0,16,0,0,0,0,0,0,0,18,24
"LITTLE TYKES UNIVERSITY LLC, OTTAWA, MI, USA",49448,43.0723587,-86.0963546,ottawa,MI,USA,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"LOVING HEARTS LITTLE HA0S, OTTAWA, MI, USA",49417,42.982376,-86.083153,ottawa,MI,USA,14,0,0,9,0,0,0,0,0,0,0,0,0,0,0,23
"LOVING HEARTS LITTLE HA0S, OTTAWA, MI, USA",49417,42.982376,-86.083153,ottawa,MI,USA,17,0,0,11,0,0,4,0,0,0,0,0,0,0,4,32
"ROBINSON ELEMENTARY SCHOOL, OTTAWA, MI, USA",49417,42.9830247,-86.0843061,ottawa,MI,USA,14,0,0,20,9,0,101,0,0,0,0,0,0,0,110,144
"ROBINSON ELEMENTARY SCHOOL - 20 SAMPLE, OTTAWA, MI, USA",49417,42.9830247,-86.0843061,ottawa,MI,USA,29,0,0,23,13,0,106,0,0,0,0,0,0,0,119,171
"TALLMADGE MEADOWS, OTTAWA, MI, USA",49534,42.9805213,-85.8171378,ottawa,MI,USA,11,7,3,4,8,0,7,0,0,0,0,0,0,0,15,40
"TRINITY LUTHERAN SCHOOL, OTTAWA, MI, USA",49403,43.1331785,-85.8250184,ottawa,MI,USA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
"C.O.O.R. SCHOOL, ROSCOMMON, MI, USA",48653,44.4939588,-84.6636271,roscommon,MI,USA,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"C.O.O.R. SCHOOL; 20 Sample, ROSCOMMON, MI, USA",48653,44.4939588,-84.6636271,roscommon,MI,USA,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"KING NURSING & REHABILITATION COMMUNITY, ROSCOMMON, MI, USA",48629,44.3006368,-84.7552299,roscommon,MI,USA,0,0,0,2,3,0,2,0,0,0,0,0,0,0,5,7
"OUR LADY OF THE LAKE, ROSCOMMON, MI, USA",48651,44.298298,-84.6581062,roscommon,MI,USA,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3
"PARKWOOD VILLAGE, SAGINAW, MI, USA",48417,43.2591263,-83.9529467,saginaw,MI,USA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
"LOCKPORT TOWNSHIP, ST JOSEPH, MI, USA",,41.943505,-85.5715015,st joseph,MI,USA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"PORT OF CALL - WEST, VAN BUREN, MI, USA",,42.2459665,-86.0121573,van buren,MI,USA,4,5,0,2,4,0,3,0,0,0,0,0,0,0,7,18
"EMERSON SCHOOL - ELEMENTARY, WASHTENAW, MI, USA",48103,42.2537462,-83.8357907,washtenaw,MI,USA,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"EMERSON SCHOOL - ELEMENTARY, WASHTENAW, MI, USA",48103,42.2537462,-83.8357907,washtenaw,MI,USA,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"BAKER COLLEGE OF CADILLAC, WEXFORD, MI, USA",49601,44.2657778,-85.3838296,wexford,MI,USA,0,8,3,0,4,0,0,0,0,0,0,0,0,0,4,15
"BAKER COLLEGE OF CADILLAC - Well 1, WEXFORD, MI, USA",49601,44.2657778,-85.3838296,wexford,MI,USA,0,8,3,0,5,0,0,0,0,0,0,0,0,0,5,16
"HARING CHARTER TOWNSHIP, WEXFORD, MI, USA",,44.287007,-85.3756249,wexford,MI,USA,0,0,0,3,3,0,3,0,0,0,0,0,0,0,6,9
